window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6058,16,4,0,1.9994,0,34.6,0,0,6.55,1.0,6058.0,632,1.0,389,603,214,2149,0.00089,0.006,408.4416,0,0.0,0.0,0.001,0,0,0,0,0.032614,0.015625,64,0.5209,0.0326,0.2556
2,5000,3721,3,5,0,1.9995,0,37.3,489,3243,5.18,0.8311,4528.7,478,1.0,300,9,98,2160,0.001167,0.0081,201.7019,1,1.0,0.0056,0.0011,1,0,0,0,0.031309,0.015625,64,0.5009,0.062,0.2377
3,5000,3373,1,5,0,1.9995,0,43.1,266,3130,4.8,0.8578,3964.8,243,1.0,254,3,49,1924,0.001486,0.0102,267.4806,2,1.9,0.0097,0.0017,1,0,0,0,0.033302,0.015625,63,0.5308,0.092,0.2381
4,5000,3150,1,5,0,1.9995,0,51.4,69,3109,4.61,0.8716,3652.1,41,1.0,177,1,78,1727,0.001729,0.0178,68.6106,3,2.9,0.0128,0.0023,1,0,0,0,0.035556,0.015625,63,0.5605,0.126,0.2498
5,5000,3088,1,3,0,1.9995,0,74.6,0,3083,4.42,0.8914,3464.1,5,1.0,116,1,62,1353,0.002474,0.0175,12.5628,4,3.9,0.0146,0.0034,0,0,0,0,0.043668,0.015625,59,0.6422,0.1619,0.2576
6,5000,2994,1,5,0,1.9995,2,96.1,5,2984,4.42,0.8992,3329.8,10,1.0,84,1,33,1024,0.003551,0.0409,35.461,5,4.8,0.0267,0.0061,1,0,0,0,0.062893,0.015625,53,0.7516,0.2036,0.276
7,5000,3040,1,5,0,1.9991,2,105.3,5,3035,4.39,0.9333,3257.3,5,1.0,62,1,23,828,0.004633,0.0426,21.2766,6,5.6,0.0329,0.0083,1,1,0,0,0.069767,0.015625,45,0.776,0.2628,0.2953
8,5000,3028,6,5,0,1.9963,2,118.7,6,3003,4.47,0.9444,3206.4,25,1.0,56,15,21,733,0.005041,0.0391,108.2251,7,4.9,0.0319,0.0081,2,0,0,0,0.066406,0.015625,43,0.7647,0.3292,0.307
9,5000,3043,1,4,0,1.9962,2,124.9,8,3025,4.36,0.9588,3173.7,18,1.0,47,2,11,628,0.006343,0.0622,82.1256,8,5.4,0.0385,0.0115,0,0,0,0,0.08,0.015625,38,0.8047,0.3781,0.3213
10,5000,3148,1,3,0,1.995,2,137.0,3,3136,4.48,0.9934,3169.0,12,1.0,41,3,9,550,0.007477,0.0734,71.4286,9,6.0,0.0405,0.0133,0,0,0,0,0.101695,0.015625,34,0.8464,0.4402,0.3362
