window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded
1,5000,6170,17,0,17,7,0.6667,1,0,0,0,0,0,0,0,0,1.9986,1.9986,0,17.3,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0
2,5000,3849,2,0,2,3,0.3333,1,0,0,0,0,0,0,0,0,1.9985,-0.0,0,18.3,1,0.0,0.0,0.0,0,0,37,68,105,0.0,0,0,0,0
3,5000,3474,4,0,4,5,1.5,2,0,0,0,0,0,0,0,0,1.9985,-0.0,0,20.3,2,0.0,0.0,0.0,0,0,43,75,118,0.0,0,1,0,0
4,5000,3457,1,0,1,5,1.6,1,0,0,0,0,0,0,0,0,1.9987,0.0002,0,23.7,2,0.0,0.0,0.0,0,0,56,84,140,0.0,0,1,0,0
5,5000,3228,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9987,0.0,0,25.2,2,0.0,0.0,0.0,0,0,58,87,145,0.0,0,0,0,0
6,5000,3147,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9989,0.0002,1,27.3,2,0.0,0.0,0.0,0,0,58,87,145,0.0,0,0,0,0
7,5000,3099,2,0,2,5,1.5,1,0,0,0,0,0,0,0,0,1.9979,-0.001,1,29.8,2,0.0,0.0,0.0,0,0,58,87,145,0.0,0,1,0,0
8,5000,3165,3,0,3,5,1.0667,2,0,0,0,0,0,0,0,0,1.9959,-0.0021,1,32.1,2,0.0,0.0,0.0,0,0,60,94,154,0.0,0,0,0,0
9,5000,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9825,-0.0134,2,34.5,2,0.0,0.0,0.0,0,0,66,102,168,0.0,0,0,0,0
10,5000,3049,2,0,2,4,1.125,1,0,0,0,0,0,0,0,0,1.9728,-0.0096,1,35.3,2,0.0,0.0,0.0,0,0,66,102,168,0.0,0,0,0,0
11,5000,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9912,0.0183,1,37.0,2,0.0,0.0,0.0,0,0,71,106,177,0.0,0,0,0,0
12,5000,2943,3,0,3,5,1.5,2,0,0,0,0,0,0,0,1,1.9912,0.0001,1,38.7,2,0.0,0.0,0.0,0,0,47,62,109,0.0,0,1,0,0
13,5000,3037,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.9829,-0.0083,1,39.5,2,0.0,0.0,0.0,0,0,48,66,114,0.0,0,0,0,0
14,5000,3035,2,0,2,5,0.3333,1,0,0,0,0,0,0,0,3,1.9836,0.0007,2,41.2,2,0.0,0.0,0.0,0,0,29,47,76,0.0,0,0,0,0
15,5000,3117,1,0,1,5,1.5,1,0,0,0,0,0,0,0,1,1.9859,0.0023,2,40.9,2,0.0,0.0,0.0,0,0,29,50,79,0.0,0,1,0,0
16,5000,3033,1,0,1,5,0.9,2,0,0,0,0,0,0,0,3,1.9704,-0.0155,2,43.2,2,0.0,0.0,0.0,0,0,30,53,83,0.0,0,0,0,0
17,5000,3044,2,0,2,5,1.4286,1,0,0,0,0,0,0,0,3,1.972,0.0017,2,43.3,2,0.0,0.0,0.0,0,0,31,56,87,0.0,0,0,0,0
18,5000,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9512,-0.0208,2,44.6,2,0.0,0.0,0.0,0,0,32,60,92,0.0,0,0,0,0
19,5000,3043,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.9387,-0.0125,1,45.5,2,0.0,0.0,0.0,0,0,20,41,61,0.0,0,1,0,0
20,5000,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9169,-0.0218,1,45.1,2,0.0,0.0,0.0,0,0,22,44,66,0.0,0,0,0,0
21,5000,3009,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.9197,0.0029,1,45.6,2,0.0,0.0,0.0,0,0,17,40,57,0.0,0,0,0,0
22,5000,3113,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.93,0.0103,1,47.0,2,0.0,0.0,0.0,0,0,19,44,63,0.0,0,1,0,0
23,5000,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9387,0.0087,2,47.4,2,0.0,0.0,0.0,0,0,15,38,53,0.0,0,0,0,0
24,4998,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,-0.0331,1,48.7,2,0.0,0.0,0.0,0,0,14,35,49,0.0,0,0,0,0
25,4996,3062,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.8413,-0.0644,1,49.1,2,0.0,0.0,0.0,0,0,12,29,41,0.0,0,1,0,0
26,4995,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9183,0.077,1,49.1,2,0.0,0.0,0.0,0,0,11,29,40,0.0,0,0,0,0
27,4992,2991,3,0,3,5,1.2,1,0,0,0,0,0,0,0,3,1.8568,-0.0615,1,48.7,1,0.0,0.0,0.0,0,0,8,23,31,0.0,0,0,0,0
28,4990,3179,2,0,2,5,0.96,1,0,0,0,0,0,0,0,3,1.8554,-0.0014,1,51.6,1,0.0,0.0,0.0,0,0,14,22,36,0.0,0,0,0,0
29,4989,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7275,-0.1278,2,49.8,1,0.0,0.0,0.0,0,0,19,28,47,0.0,0,0,0,0
30,4988,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.958,0.2305,1,49.9,1,0.0,0.0,0.0,0,0,17,25,42,0.0,0,0,0,0
31,4986,3026,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.9247,-0.0333,1,51.6,1,0.0,0.0,0.0,0,0,17,25,42,0.0,0,0,0,0
32,4984,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9401,0.0154,1,51.0,1,0.0,0.0,0.0,0,0,17,25,42,0.0,0,0,0,0
33,4983,2977,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,1,1.9713,0.0313,1,51.8,1,0.0,0.0,0.0,0,0,16,23,39,0.0,0,0,0,0
34,4982,3051,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,3,1.8567,-0.1147,1,52.1,1,0.0,0.0,0.0,0,0,21,23,44,0.0,0,0,0,0
35,4981,3085,1,0,1,3,0.2222,1,0,0,0,0,0,0,0,3,1.9657,0.109,2,51.5,1,0.0,0.0,0.0,0,0,30,24,54,0.0,0,0,0,0
