window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6149,16,6,0,1.9987,0,33.2,0,0,6.65,1.0,6149.0,662,1.0,407,631,224,2262,0.000864,0.0064,387.9108,0,0.0,0.0,0.001,0,0,0,0
2,5000,3830,2,9,0,1.9986,0,38.7,511,3307,5.25,0.8351,4623.7,523,1.0,329,11,89,2307,0.001085,0.0092,248.4406,1,1.0,0.0,0.0011,0,0,0,0
3,5000,3537,1,5,0,1.9987,0,50.4,305,3242,4.94,0.8695,4089.8,295,1.0,285,3,47,2081,0.001347,0.0121,285.2998,2,2.0,0.0089,0.0015,1,0,0,0
4,5000,3187,1,3,0,1.9986,0,65.0,87,3139,4.63,0.863,3747.5,48,1.0,189,7,103,1915,0.001599,0.0187,73.0949,3,2.9,0.0147,0.0024,0,0,0,0
5,5000,3118,2,5,0,1.9986,0,77.9,0,3109,4.46,0.8814,3537.7,9,1.0,136,4,57,1508,0.002309,0.0279,18.9474,4,3.8,0.0196,0.0036,1,0,0,0
6,5000,3000,0,0,3,1.9987,0,90.3,0,3000,4.38,0.8865,3384.0,0,1.0,98,0,38,1195,0.003089,0.0268,0.0,5,4.7,0.0255,0.0049,0,0,0,0
7,5000,3102,0,0,3,1.9979,1,98.0,1,3101,4.48,0.9362,3313.5,1,1.0,73,1,26,906,0.004406,0.0357,0.0,6,5.6,0.0196,0.0064,0,0,0,0
8,5000,3066,1,5,0,1.9995,1,111.1,0,3061,4.46,0.9409,3258.5,5,1.0,56,1,18,753,0.005511,0.0487,23.5849,7,6.5,0.0398,0.0094,1,0,0,0
9,5000,3059,1,4,0,1.9989,1,117.0,0,3051,4.41,0.9504,3218.6,8,1.0,52,6,10,687,0.005899,0.0766,41.6667,8,6.7,0.0431,0.0121,0,0,0,0
10,5000,3024,1,5,0,1.9955,2,126.7,0,3014,4.43,0.95,3183.2,10,1.0,39,1,14,612,0.006968,0.0729,57.1429,9,7.0,0.0339,0.0128,1,0,0,0
11,5000,3054,2,5,0,1.983,2,130.6,6,3028,4.42,0.9659,3161.7,26,1.0,34,9,14,604,0.007364,0.0603,143.6782,10,6.5,0.0362,0.0129,1,0,0,0
12,5000,3062,1,5,0,1.9944,2,137.4,4,3048,4.44,0.9732,3146.4,14,1.0,25,1,10,518,0.008912,0.0864,95.8904,11,7.6,0.0607,0.0199,1,0,0,0
13,5000,3107,1,4,1,1.9508,2,144.1,7,3092,4.52,0.9893,3140.7,15,1.0,22,4,7,453,0.01032,0.0915,117.1875,12,6.5,0.0528,0.0182,0,0,0,0
14,5000,3110,1,3,3,1.9598,2,148.2,5,3105,4.45,0.9915,3136.6,5,1.0,17,1,6,393,0.013039,0.1176,53.7634,13,7.0,0.0647,0.0243,0,1,0,0
15,5000,3032,2,5,1,1.9932,2,151.7,4,3018,4.35,0.9707,3123.6,14,1.0,16,3,4,372,0.015159,0.1215,132.6531,14,7.1,0.0601,0.0316,2,0,0,0
16,5000,3035,1,5,3,1.9801,2,150.9,4,3016,4.46,0.9749,3113.1,19,1.0,13,2,5,357,0.01491,0.122,165.1376,15,6.5,0.0755,0.0211,1,1,0,0
17,5000,3059,1,3,3,1.967,2,161.8,9,3040,4.44,0.9845,3107.1,19,1.0,13,5,5,339,0.016281,0.1224,173.9487,16,7.0,0.0773,0.0293,0,0,0,0
18,5000,3132,1,5,3,1.9368,2,165.6,3128,0,4.49,1.0072,3109.7,4,1.0,13,1,1,306,0.018592,0.117,43.4783,17,6.7,0.0771,0.0226,1,0,0,0
