window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,5899,12,7,0,1.9996,0,34.6,0,0,6.37,1.0,5899.0,495,1.0,312,464,152,1807,0.001165,0.0143,413.8796,0,0.0,0.0,0.0015,0,0,0,0
2,5000,3603,2,4,0,1.9996,0,38.8,366,3212,5.03,0.8266,4380.3,391,1.0,296,11,27,1848,0.00139,0.0095,406.8678,1,1.0,0.0,0.0014,0,0,0,0
3,5000,3270,2,3,0,1.9996,0,51.1,226,3053,4.74,0.8581,3836.2,217,1.0,249,4,51,1792,0.001538,0.0141,269.9005,2,1.9,0.0,0.0017,0,0,0,0
4,5000,3253,0,0,1,1.9996,0,64.8,36,3222,4.64,0.9052,3608.1,31,1.0,163,3,89,1601,0.001929,0.0168,59.8802,3,2.9,0.0,0.0025,0,0,0,0
5,5000,3038,4,5,0,1.9996,1,81.9,2,3028,4.53,0.8888,3418.1,10,1.0,117,5,51,1267,0.00265,0.0259,23.8727,4,3.7,0.0259,0.0038,1,0,0,0
6,5000,3043,2,5,0,1.9996,1,96.6,0,3028,4.46,0.9191,3310.9,15,1.0,90,5,32,1049,0.00353,0.043,44.6429,5,4.5,0.0323,0.0061,1,0,0,0
7,5000,3081,0,0,1,1.9972,2,103.1,0,3066,4.43,0.947,3253.4,15,1.0,67,0,23,865,0.004348,0.0353,57.6923,6,5.5,0.0318,0.0069,0,0,0,0
8,5000,3091,1,5,0,1.995,1,118.2,0,3081,4.55,0.9607,3217.3,10,1.0,55,1,13,709,0.005575,0.0756,46.5116,7,6.2,0.0533,0.0111,1,0,0,0
9,5000,3091,2,5,0,1.9657,1,132.6,0,3081,4.43,0.9683,3192.1,10,1.0,44,4,15,645,0.006085,0.0531,52.6316,8,6.5,0.0326,0.011,1,0,0,0
10,5000,3130,0,0,1,1.9404,2,139.5,0,3125,4.56,0.984,3180.8,5,1.0,36,0,8,554,0.007421,0.0663,32.0513,9,7.3,0.0422,0.0146,0,0,0,0
11,5000,3080,0,0,0,1.9569,1,141.7,0,3072,4.48,0.9735,3164.0,8,1.0,31,3,8,464,0.009165,0.0861,48.6111,10,7.7,0.0348,0.0183,0,0,0,0
12,5000,3027,0,0,3,1.9692,1,153.2,1,3026,4.39,0.9631,3142.9,1,1.0,22,1,10,420,0.010468,0.0734,0.0,11,8.4,0.0459,0.016,0,0,0,0
13,5000,3134,1,5,3,1.9781,1,153.7,6,3128,4.47,0.9976,3141.6,6,1.0,18,2,6,373,0.012694,0.0957,47.1698,12,8.9,0.0678,0.0201,1,0,0,0
14,5000,3086,0,0,3,1.9651,1,165.6,7,3079,4.55,0.9846,3134.2,7,1.0,17,2,3,326,0.016005,0.1,72.9167,13,8.9,0.062,0.0211,0,0,0,0
15,5000,3092,0,0,3,1.9372,1,170.3,7,3085,4.46,0.9882,3128.9,7,1.0,16,2,3,323,0.016317,0.1386,53.1915,14,9.7,0.0871,0.0278,0,0,0,0
16,5000,3153,0,0,3,1.9629,1,173.7,3153,0,4.5,1.0068,3131.8,0,1.0,16,0,0,295,0.017425,0.1562,0.0,15,10.7,0.0969,0.0358,0,0,0,0
17,5000,3066,2,5,3,1.9955,1,179.4,6,3055,4.33,0.9813,3124.5,11,1.0,16,4,4,358,0.014696,0.0947,112.3596,16,9.1,0.0754,0.0241,1,0,0,0
