window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6290,14,5,0,1.9983,0,34.7,0,0,6.71,1.0,6290.0,705,1.0,450,685,235,2351,0.000815,0.0051,391.015,0,0.0,0.0038,0.0009,1,0,0,0
2,5000,3777,2,4,0,1.9983,0,37.9,542,3236,5.31,0.8226,4642.7,541,1.0,357,13,106,2375,0.001037,0.0075,184.721,1,1.0,0.0075,0.0009,0,0,0,0
3,5000,3444,2,4,0,1.9982,0,48.9,272,3176,4.94,0.8555,4056.3,268,1.0,291,4,70,2097,0.001335,0.011,253.8023,2,1.9,0.011,0.0015,0,0,0,0
4,5000,3112,2,5,0,1.9982,0,68.7,75,3072,4.53,0.854,3696.6,40,1.0,193,2,100,1763,0.00171,0.0238,63.7959,3,2.9,0.0105,0.0027,1,0,0,0
5,5000,3022,1,4,0,1.9981,0,80.5,0,3022,4.4,0.8705,3471.7,0,1.0,133,1,61,1457,0.002245,0.021,0.0,4,3.8,0.0168,0.0029,0,0,0,0
6,5000,3146,2,5,0,1.9982,0,87.9,9,3137,4.53,0.9311,3378.7,9,1.0,97,2,38,1088,0.003409,0.0389,25.2101,5,4.7,0.0285,0.0059,1,0,0,0
7,5000,3080,0,0,1,1.9951,2,97.3,0,3080,4.44,0.9322,3304.0,0,1.0,63,0,34,887,0.004208,0.038,0.0,6,5.6,0.0285,0.0069,0,1,0,0
8,5000,3113,0,0,0,1.9936,1,107.8,0,3113,4.51,0.9545,3261.6,0,1.0,54,0,9,639,0.005972,0.0357,0.0,7,6.5,0.0255,0.0062,0,0,0,0
9,5000,2991,1,5,0,1.9953,1,116.6,8,2983,4.37,0.9325,3207.4,8,1.0,43,4,15,557,0.007088,0.0588,55.9441,8,6.8,0.0327,0.0102,1,0,0,0
10,5000,3152,1,5,0,1.9919,1,125.4,3,3144,4.53,0.9858,3197.4,8,1.0,34,1,10,468,0.0089,0.0576,61.0687,9,7.3,0.045,0.0121,1,0,0,0
11,5000,3046,0,0,1,1.9904,2,129.0,3,3043,4.47,0.9602,3172.1,3,1.0,29,0,5,419,0.010708,0.0696,27.7778,10,8.0,0.0413,0.0135,0,0,0,0
12,5000,3060,2,5,0,1.9919,1,136.2,6,3049,4.49,0.9699,3154.9,11,1.0,26,2,5,397,0.011516,0.113,100.0,11,8.0,0.0678,0.021,1,0,0,0
13,5000,3149,0,0,3,1.9867,1,142.6,7,3137,4.48,0.9984,3154.0,12,1.0,20,2,8,389,0.011986,0.084,87.7193,12,8.4,0.055,0.0202,0,0,0,0
14,5000,2963,1,5,3,1.9902,1,148.9,8,2950,4.45,0.9471,3128.6,13,1.0,16,2,6,363,0.013387,0.113,113.2075,13,8.4,0.0768,0.0232,1,0,0,0
15,5000,3196,1,5,3,1.9919,1,151.8,3182,0,4.48,1.0191,3137.1,15,1.0,14,3,5,341,0.015386,0.1346,154.6392,14,7.2,0.0769,0.0245,1,0,0,0
16,5000,3129,0,0,3,1.9853,2,157.9,5,3124,4.48,0.9977,3136.2,5,1.0,12,2,4,278,0.018488,0.1429,56.338,15,6.2,0.0946,0.0283,0,0,0,0
17,5000,2950,0,0,3,1.99,1,157.9,3,2948,4.43,0.9472,3115.6,2,1.0,9,0,3,231,0.023175,0.1406,32.7869,14,7.2,0.1068,0.0218,0,1,0,0
18,5000,3058,2,5,3,1.9749,1,167.0,5,3049,4.43,0.9834,3109.5,9,1.0,12,4,1,238,0.021287,0.137,125.0,15,6.2,0.09,0.0259,1,0,0,0
19,5000,3007,0,0,3,1.9149,1,163.9,8,2999,4.35,0.9702,3099.3,8,1.0,12,3,3,253,0.019103,0.1316,112.6761,16,6.8,0.0877,0.0309,0,1,0,0
