window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6191,12,5,0,1.9985,0,34.3,0,0,6.58,1.0,6191.0,561,1.0,344,533,189,1960,0.001034,0.0089,401.8625,0,0.0,0.0064,0.0011,2,0,0,0
2,5000,3664,4,5,0,1.9985,0,39.3,468,3202,5.16,0.8168,4531.0,462,1.0,276,18,86,2050,0.00126,0.0082,119.797,1,1.0,0.0071,0.0012,1,0,0,0
3,5000,3366,3,5,0,1.9985,0,52.8,258,3127,4.84,0.8562,3961.5,239,1.0,242,3,37,1839,0.001601,0.0107,277.3893,2,1.9,0.009,0.0018,2,0,0,0
4,5000,3110,0,0,1,1.9985,0,70.0,50,3082,4.52,0.8629,3629.7,28,1.0,167,2,77,1612,0.001947,0.0144,51.1883,3,2.9,0.0108,0.0024,0,1,0,0
5,5000,3085,2,5,0,1.9985,0,79.4,3,3075,4.48,0.8951,3448.8,10,1.0,108,2,61,1303,0.002706,0.0237,27.1739,4,3.8,0.0178,0.0039,2,0,0,0
6,5000,3116,2,4,0,1.9984,1,95.9,7,3109,4.49,0.9291,3353.7,7,1.0,82,3,29,1013,0.003931,0.0402,23.6486,5,4.6,0.0263,0.0066,0,0,0,0
7,5000,3056,1,5,0,1.9941,2,107.9,9,3042,4.42,0.9319,3279.3,14,1.0,62,6,26,866,0.004482,0.0478,67.6329,6,5.1,0.0224,0.0067,1,0,0,0
8,5000,3037,0,0,3,1.9956,2,116.0,4,3033,4.48,0.9416,3225.4,4,1.0,47,0,15,682,0.006143,0.0476,20.7254,7,5.9,0.0279,0.0086,0,0,0,0
9,5000,3067,0,0,0,1.9963,1,127.8,7,3060,4.39,0.9603,3193.8,7,1.0,38,3,12,560,0.007564,0.0617,46.0526,8,6.4,0.045,0.0143,0,0,0,0
10,5000,3110,4,5,0,1.9978,1,137.8,5,3090,4.52,0.9784,3178.5,20,1.0,34,7,11,575,0.008024,0.08,121.2121,9,6.1,0.048,0.0195,3,0,0,0
11,5000,3064,1,5,0,1.9787,1,144.5,6,3053,4.43,0.9698,3159.4,11,1.0,25,2,11,548,0.008477,0.0674,64.1026,10,6.4,0.0478,0.0147,1,1,0,0
12,5000,3029,0,0,1,1.9752,2,150.9,0,3024,4.49,0.9648,3139.4,5,1.0,17,0,8,427,0.012202,0.0984,45.045,11,7.2,0.0605,0.0175,0,2,0,0
13,5000,3080,2,5,1,1.944,1,154.2,3,3067,4.49,0.9837,3130.9,13,1.0,16,2,3,356,0.014503,0.1161,122.6415,12,7.1,0.0744,0.0278,1,0,0,0
14,5000,3245,1,5,1,1.93,1,161.2,3253,0,4.55,1.0369,3148.8,12,1.0,15,3,4,347,0.013346,0.129,114.9425,13,7.5,0.0741,0.0267,1,1,0,0
15,5000,3121,0,0,3,1.9604,2,164.8,1,3115,4.49,0.9923,3145.3,6,1.0,11,1,5,299,0.016567,0.1744,64.1026,14,8.5,0.0947,0.038,0,2,0,0
16,5000,3088,1,4,1,1.9936,1,169.9,7,3078,4.46,0.9839,3138.6,10,1.0,12,4,3,263,0.018872,0.1282,135.1351,15,7.4,0.0842,0.0304,0,0,0,0
17,5000,3095,0,0,3,1.9837,1,170.7,3,3092,4.5,0.9876,3133.7,3,1.0,11,0,1,249,0.020799,0.1282,40.0,16,8.1,0.0769,0.0188,0,1,0,0
18,5000,3037,2,5,3,1.9899,1,177.8,7,3020,4.47,0.9723,3123.5,17,1.0,15,6,2,287,0.016834,0.1398,191.0112,17,6.7,0.0672,0.0369,2,0,0,0
