window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6095,15,5,0,1.9984,0,33.8,0,0,6.6,1.0,6095.0,650,1.0,397,620,223,2159,0.000916,0.0058,403.2258,0,0.0,0.0058,0.0011,1,0,0,0
2,5000,3780,2,4,0,1.9982,0,37.5,489,3294,5.22,0.8348,4581.0,486,1.0,322,16,91,2211,0.001111,0.0066,134.6013,1,1.0,0.0066,0.001,0,0,0,0
3,5000,3367,4,5,0,1.9982,0,51.7,297,3078,4.85,0.851,3987.0,289,1.0,262,14,74,2043,0.001414,0.0117,190.9344,2,1.9,0.0085,0.0016,1,0,0,0
4,5000,3115,0,0,1,1.9982,0,65.3,70,3070,4.54,0.8607,3648.2,45,1.0,188,4,78,1787,0.001725,0.0136,78.534,3,2.8,0.0106,0.0021,0,0,0,0
5,5000,3100,0,0,0,1.9982,0,79.1,15,3086,4.47,0.8947,3465.8,14,1.0,130,2,60,1386,0.002383,0.0167,32.8638,4,3.7,0.0104,0.0031,0,0,0,0
6,5000,3090,1,4,0,1.9982,1,97.7,3,3082,4.5,0.9201,3358.4,8,1.0,92,3,41,1092,0.003065,0.0258,25.89,5,4.6,0.0244,0.0043,0,0,0,0
7,5000,3041,2,5,0,1.9968,1,106.4,6,3015,4.42,0.9274,3279.1,26,1.0,77,10,25,933,0.004012,0.045,88.6525,6,5.0,0.0322,0.0069,2,0,0,0
8,5000,3181,1,3,0,1.9932,2,118.5,0,3166,4.58,0.9766,3257.3,15,1.0,60,4,21,772,0.004711,0.0382,63.8298,7,5.7,0.0254,0.0078,0,1,0,0
9,5000,3101,3,4,0,1.9846,2,129.3,7,3079,4.44,0.9612,3226.0,22,1.0,52,3,11,643,0.006103,0.0739,117.0213,8,6.1,0.0493,0.0115,0,0,0,0
10,5000,3033,2,5,0,1.9916,2,125.4,16,3008,4.45,0.9505,3190.9,25,1.0,36,2,18,607,0.006734,0.0743,159.2357,9,6.6,0.0529,0.0148,1,0,0,0
11,5000,3072,2,4,0,1.9562,2,144.6,14,3058,4.48,0.9687,3171.1,14,1.0,34,2,4,509,0.008209,0.0743,97.9021,10,6.9,0.0287,0.0163,0,0,0,0
12,5000,3113,1,5,1,1.9257,2,140.1,11,3098,4.51,0.9845,3162.2,15,1.0,23,1,12,481,0.010096,0.0795,111.9403,11,6.7,0.045,0.0187,1,0,0,0
13,5000,3127,1,4,1,1.8662,2,154.0,10,3117,4.43,0.9905,3157.1,10,1.0,20,3,6,395,0.011128,0.1017,73.3945,12,6.8,0.0593,0.0185,0,0,0,0
14,5000,3178,1,3,3,1.9497,2,164.6,3167,0,4.58,1.0057,3159.9,11,1.0,21,1,0,362,0.013381,0.094,94.0171,13,7.4,0.0547,0.0212,0,0,0,0
15,5000,3127,2,5,3,1.9668,2,164.7,7,3115,4.45,0.9909,3155.8,12,1.0,18,2,5,399,0.012188,0.1043,112.1495,14,6.7,0.0574,0.021,1,1,0,0
16,5000,3026,3,5,3,1.9749,2,170.2,10,3002,4.41,0.9635,3140.5,24,1.0,21,10,7,406,0.011457,0.084,198.3471,15,4.2,0.0547,0.0173,1,0,0,0
17,5000,3003,0,0,3,1.987,2,169.4,6,2992,4.43,0.9609,3125.3,11,1.0,21,3,3,392,0.012128,0.0855,93.4579,16,4.9,0.0527,0.0179,0,0,0,0
18,5000,3144,2,5,1,1.9797,1,178.6,3126,0,4.54,1.0054,3127.2,18,1.0,19,2,4,404,0.012514,0.0968,162.1622,17,4.8,0.0645,0.0208,2,0,0,0
