window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6081,11,6,0,1.9983,0,33.1,0,0,6.59,1.0,6081.0,598,1.0,381,573,192,2120,0.000956,0.0087,389.8305,0,0.0,0.0071,0.0011,2,0,0,0,0.030041,0.015625,64,0.4799,0.03,0.2315
2,5000,3820,3,4,0,1.9983,0,35.7,472,3330,5.32,0.8382,4594.3,490,1.0,314,23,90,2184,0.001158,0.0072,327.4876,1,1.0,0.0057,0.0011,0,0,0,0,0.034565,0.015625,64,0.548,0.0631,0.2186
3,5000,3336,0,0,1,1.9983,0,42.5,271,3077,4.85,0.8445,3976.2,259,1.0,261,5,58,1972,0.001428,0.0124,282.2757,2,1.9,0.0084,0.0017,0,0,0,0,0.036348,0.015625,63,0.5701,0.0985,0.2221
4,5000,3115,1,3,0,1.9983,0,67.4,45,3087,4.49,0.8615,3640.1,28,1.0,172,1,90,1729,0.001752,0.0171,51.0018,3,2.9,0.0085,0.0023,0,0,0,0,0.060559,0.015625,62,0.742,0.1585,0.24
5,5000,3002,2,5,0,1.9983,0,81.4,5,2992,4.39,0.8759,3427.4,10,1.0,126,2,48,1330,0.002653,0.0274,24.8756,4,3.8,0.0166,0.0035,2,0,0,0,0.059361,0.015625,60,0.7368,0.2179,0.248
6,5000,3059,2,5,0,1.998,0,90.0,4,3050,4.43,0.9208,3322.1,9,1.0,87,2,41,1105,0.003401,0.0317,28.9389,5,4.7,0.0254,0.0056,1,0,0,0,0.051873,0.015625,54,0.6988,0.2698,0.2652
7,5000,3081,1,5,0,1.9979,2,97.6,5,3066,4.5,0.9446,3261.9,15,1.0,65,2,24,885,0.004248,0.0436,56.2249,6,5.6,0.0291,0.0084,1,0,0,0,0.069091,0.015625,43,0.7738,0.3207,0.2922
8,5000,3036,1,5,3,1.9967,2,109.5,4,3023,4.45,0.9453,3211.7,13,1.0,51,1,15,698,0.006172,0.0598,59.0909,7,6.3,0.0348,0.0105,1,0,0,0,0.089744,0.015625,38,0.8259,0.3805,0.3226
9,5000,3163,0,0,3,1.9954,2,112.6,4,3154,4.52,0.9878,3201.9,9,1.0,38,0,13,572,0.007772,0.0692,60.8108,8,7.1,0.0323,0.0146,0,0,0,0,0.119497,0.015625,31,0.8692,0.4686,0.3488
10,5000,3123,1,5,0,1.9957,1,127.8,2,3116,4.52,0.9797,3187.6,7,1.0,33,3,8,539,0.008077,0.0694,37.594,9,7.7,0.0425,0.0153,1,0,0,0,0.097222,0.015625,29,0.8393,0.5449,0.3744
11,5000,3125,2,4,0,1.9914,1,144.0,7,3113,4.47,0.9836,3177.2,12,1.0,34,8,7,509,0.008321,0.0736,77.4194,10,7.0,0.0383,0.0129,0,0,0,0,0.122699,0.015625,25,0.8727,0.6002,0.3903
12,5000,3064,0,0,3,1.9938,2,151.7,0,3064,4.44,0.9697,3159.7,0,1.0,27,0,7,448,0.009517,0.0698,0.0,11,7.2,0.0475,0.0155,0,0,0,0,0.116279,0.015625,22,0.8656,0.6544,0.4124
13,5000,3103,1,5,3,1.9904,1,161.0,0,3098,4.46,0.9846,3151.6,5,1.0,23,1,5,437,0.010821,0.0949,39.0625,12,7.9,0.0511,0.0165,1,0,0,0,0.094891,0.015625,21,0.8353,0.7274,0.4318
14,5000,3082,0,0,3,1.9952,1,161.4,3,3074,4.48,0.9808,3142.4,8,1.0,15,3,11,404,0.012025,0.1081,62.5,13,7.5,0.0676,0.0189,0,1,0,0,0.108108,0.015625,19,0.8555,0.7905,0.4542
15,5000,3084,0,0,3,1.992,1,163.7,0,3079,4.49,0.9837,3135.1,5,1.0,14,0,1,299,0.017479,0.117,54.9451,14,8.9,0.0771,0.0244,0,0,0,0,0.117021,0.015625,12,0.8665,0.8557,0.4768
16,5000,2998,0,0,3,1.987,1,164.5,3,2986,4.38,0.9612,3118.9,12,1.0,16,8,6,328,0.013309,0.1149,151.8987,15,6.5,0.0673,0.0239,0,1,0,0,0.114943,0.015625,16,0.8641,0.9233,0.484
17,5000,3030,0,0,3,1.9347,1,158.6,3,3022,4.4,0.9746,3109.1,8,1.0,14,0,2,274,0.017721,0.119,102.5641,16,7.4,0.0816,0.0226,0,0,0,0,0.130952,0.015625,14,0.8807,0.9828,0.4946
18,5000,2991,0,0,3,1.9058,1,163.3,3,2989,4.43,0.9662,3096.7,2,1.0,13,0,1,251,0.019114,0.1316,27.3973,17,8.9,0.0846,0.0289,0,0,0,0,0.144737,0.015625,12,0.892,1.0881,0.51
19,5000,3059,0,0,0,1.9053,1,186.7,1,3058,4.39,0.989,3093.0,1,1.0,13,1,1,256,0.019384,0.1176,15.3846,18,9.5,0.084,0.0279,0,0,0,0,0.132353,0.015625,13,0.8819,1.1763,0.5231
20,5000,3106,0,0,3,1.9147,1,184.8,3106,0,4.48,1.0038,3094.2,0,1.0,12,0,1,248,0.020737,0.125,0.0,19,11.1,0.0944,0.0236,0,0,0,0,0.125,0.015625,13,0.875,1.2299,0.5346
21,5000,3023,0,0,3,1.957,1,187.0,0,3023,4.38,0.9791,3087.4,0,1.0,11,0,1,238,0.022074,0.1132,0.0,20,12.2,0.0912,0.0185,0,1,0,0,0.113208,0.015625,12,0.862,1.3053,0.5455
22,5000,3083,2,4,3,1.9919,1,190.0,7,3076,4.43,0.9987,3087.0,7,1.0,11,3,3,249,0.019159,0.1552,109.0909,21,10.8,0.0833,0.032,0,0,0,0,0.155172,0.015625,13,0.8993,1.368,0.5441
23,5000,3062,0,0,3,1.9569,1,191.5,4,3058,4.4,0.9927,3084.6,4,1.0,9,0,2,210,0.024988,0.1408,59.7015,22,13.2,0.1103,0.0221,0,0,0,0,0.140845,0.015625,10,0.8891,1.4948,0.5502
