window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
1,5000,6050,14,5,0,1.9983,0,16.5,0,0,6.49,1.0,6050.0,520,1.0,324,492,168,1835,0.001121,0.0092,408.4839,0,0.0,0.0092,0.0013,1,0,0,0,0.030506,0.015625,64,0.4878,0.0305,0.2176,0,0,324
2,5000,3637,1,5,0,1.9984,0,15.5,396,3253,5.15,0.8229,4467.3,384,1.0,302,4,26,1853,0.001241,0.0096,365.3663,1,1.0,0.0077,0.0014,1,0,0,0,0.030951,0.015625,64,0.4952,0.0602,0.2071,0,0,302
3,5000,3407,3,5,0,1.9985,0,15.3,185,3230,4.83,0.8685,3948.2,177,1.0,242,7,67,1826,0.001312,0.0147,210.2138,2,1.9,0.0113,0.0021,2,0,0,0,0.043137,0.015625,63,0.6378,0.1034,0.2125,0,0,242
4,5000,3148,0,0,1,1.9985,0,15.1,35,3130,4.58,0.8707,3634.9,18,1.0,209,1,34,1564,0.001483,0.0197,30.1418,3,2.9,0.0135,0.0029,0,0,0,0,0.047619,0.015625,62,0.6719,0.151,0.2319,0,0,209
5,5000,3162,6,5,0,1.9985,0,15.2,16,3141,4.5,0.9093,3477.3,21,1.0,191,6,24,1547,0.001583,0.0219,39.3996,4,3.8,0.0141,0.0032,3,0,0,0,0.03643,0.015625,62,0.5711,0.1801,0.2323,0,0,191
6,5000,3207,2,5,0,1.9988,1,15.1,7,3195,4.6,0.9432,3400.0,12,1.0,176,2,17,1516,0.001652,0.023,22.3464,5,4.8,0.0155,0.0039,1,0,0,0,0.042553,0.015625,61,0.6328,0.2121,0.2369,0,0,176
7,5000,3189,2,5,0,1.9996,2,15.1,14,3170,4.61,0.9527,3347.3,19,1.0,160,4,20,1467,0.001677,0.0232,39.3013,6,5.6,0.0154,0.0045,2,0,0,0,0.044304,0.015625,60,0.6473,0.2521,0.2427,0,0,160
8,5000,3116,1,5,0,1.9974,2,15.0,5,3104,4.51,0.9457,3296.1,12,1.0,145,4,19,1408,0.001711,0.0262,25.5319,7,6.5,0.0177,0.0048,1,0,0,0,0.050302,0.015625,59,0.6894,0.3024,0.254,0,0,145
9,5000,3199,0,0,3,1.9976,2,15.0,0,3199,4.51,0.9763,3276.7,0,1.0,134,0,11,1337,0.001763,0.0304,0.0,8,7.5,0.0197,0.0051,0,1,0,0,0.042155,0.015625,57,0.6293,0.3376,0.2618,0,0,134
10,5000,3114,2,4,0,1.9912,1,15.0,8,3106,4.46,0.959,3247.1,8,1.0,120,2,16,1239,0.001858,0.0306,21.0526,9,8.3,0.0166,0.0054,0,0,0,0,0.05102,0.015625,54,0.6937,0.3707,0.2702,0,0,120
